Time, Gaze, Attention Score, Blink
12.30, Looking Straight, 100.00, N/A
12.31, Looking Straight, 100.00, N/A
12.36, Looking Straight, 100.00, N/A
12.38, Looking Straight, 100.00, N/A
12.43, Looking Straight, 100.00, N/A
12.44, Looking Straight, 100.00, N/A
12.51, Looking Right, 99.79, N/A
12.52, Looking Right, 99.58, N/A
12.57, Looking Right, 99.37, N/A
12.59, Looking Right, 99.16, N/A
12.63, Looking Right, 98.95, N/A
12.65, Looking Right, 98.74, N/A
12.70, Looking Right, 98.52, N/A
12.71, Looking Right, 98.30, N/A
12.76, Looking Right, 98.08, N/A
12.77, Looking Right, 97.86, N/A
12.82, Looking Right, 97.64, N/A
12.84, Looking Straight, 97.74, N/A
12.90, Looking Right, 97.51, N/A
12.92, Looking Right, 97.28, N/A
12.97, Looking Right, 97.05, N/A
12.98, Looking Right, 96.82, N/A
13.03, Looking Right, 96.59, N/A
13.05, Looking Right, 96.35, N/A
13.10, Looking Right, 96.12, N/A
13.11, Looking Right, 95.88, N/A
13.16, Looking Straight, 95.98, N/A
13.17, Looking Straight, 96.08, N/A
13.23, Looking Straight, 96.18, N/A
13.24, Looking Straight, 96.28, N/A
13.31, Looking Straight, 96.38, N/A
13.32, Looking Straight, 96.48, N/A
13.37, Looking Straight, 96.58, N/A
13.39, Looking Straight, 96.68, N/A
13.44, Looking Straight, 96.78, N/A
13.45, Looking Straight, 96.88, N/A
13.50, Looking Straight, 96.98, N/A
13.51, Looking Straight, 97.08, N/A
13.56, Looking Straight, 97.18, N/A
13.58, Looking Straight, 97.28, N/A
13.63, Looking Straight, 97.38, N/A
13.64, Looking Straight, 97.48, N/A
13.71, Looking Straight, 97.58, N/A
13.72, Looking Straight, 97.68, N/A
13.78, Looking Straight, 97.78, N/A
13.83, Looking Straight, 97.88, N/A
13.85, Looking Straight, 97.98, N/A
13.90, Looking Straight, 98.08, N/A
13.91, Looking Straight, 98.18, N/A
13.96, Looking Straight, 98.28, N/A
13.98, Looking Straight, 98.38, N/A
14.03, Looking Straight, 98.48, N/A
14.04, Looking Straight, 98.58, N/A
14.11, Looking Straight, 98.68, N/A
14.12, Looking Straight, 98.78, N/A
14.17, Looking Straight, 98.88, N/A
14.19, Looking Straight, 98.98, N/A
14.23, Looking Straight, 99.08, N/A
14.25, Looking Straight, 99.18, N/A
14.30, Looking Straight, 99.28, N/A
14.31, Looking Straight, 99.38, N/A
14.36, Looking Straight, 99.48, N/A
14.38, Looking Straight, 99.58, N/A
14.42, Looking Straight, 99.68, N/A
14.44, Looking Straight, 99.78, N/A
14.51, Looking Straight, 99.88, N/A
14.52, Looking Straight, 99.98, N/A
14.57, Looking Straight, 100.00, N/A
14.58, Looking Straight, 100.00, N/A
14.64, Looking Straight, 100.00, N/A
14.65, Looking Straight, 100.00, N/A
14.70, Looking Straight, 100.00, N/A
14.71, Looking Straight, 100.00, N/A
14.76, Looking Straight, 100.00, N/A
14.78, Looking Straight, 100.00, N/A
14.84, Looking Straight, 100.00, N/A
14.86, Looking Straight, 100.00, N/A
14.87, Looking Straight, 100.00, N/A
14.90, Looking Straight, 100.00, N/A
14.97, Looking Straight, 100.00, N/A
14.99, Looking Straight, 100.00, N/A
15.03, Looking Straight, 100.00, N/A
15.05, Looking Straight, 100.00, N/A
15.10, Looking Straight, 100.00, N/A
15.11, Looking Straight, 100.00, N/A
15.16, Looking Straight, 100.00, N/A
15.17, Looking Straight, 100.00, N/A
15.24, Looking Straight, 100.00, N/A
15.25, Looking Straight, 100.00, N/A
15.27, Looking Straight, 100.00, N/A
15.31, Looking Straight, 100.00, N/A
15.37, Looking Straight, 100.00, N/A
15.39, Looking Straight, 100.00, N/A
15.44, Looking Straight, 100.00, N/A
15.45, Looking Straight, 100.00, N/A
15.50, Looking Straight, 100.00, N/A
15.57, Looking Right, 99.64, N/A
15.58, Looking Right, 99.28, N/A
15.64, Looking Right, 98.91, N/A
15.66, Looking Right, 98.55, N/A
15.67, Looking Right, 98.18, N/A
15.70, Looking Right, 97.82, N/A
15.77, Looking Right, 97.45, N/A
15.79, Looking Right, 97.08, N/A
15.83, Looking Right, 96.70, N/A
15.85, Looking Right, 96.33, N/A
15.90, Looking Right, 95.95, N/A
15.92, Looking Right, 95.57, N/A
15.96, Looking Right, 95.19, N/A
15.98, Looking Right, 94.81, N/A
16.04, Looking Right, 94.43, N/A
16.06, Looking Right, 94.04, N/A
16.07, Looking Right, 93.66, N/A
16.11, Looking Right, 93.27, N/A
16.17, Looking Right, 92.88, N/A
16.19, Looking Right, 92.49, N/A
16.24, Looking Right, 92.10, N/A
16.25, Looking Right, 91.70, N/A
16.30, Looking Straight, 91.80, N/A
16.31, Looking Straight, 91.90, N/A
16.36, Looking Straight, 92.00, N/A
16.38, Looking Straight, 92.10, N/A
16.44, Looking Straight, 92.20, N/A
16.46, Looking Straight, 92.30, N/A
16.47, Looking Straight, 92.40, N/A
19.25, Looking Straight, 92.50, N/A
19.26, Looking Straight, 92.60, N/A
19.30, Looking Straight, 92.70, N/A
19.37, Looking Straight, 92.80, N/A
19.39, Looking Straight, 92.90, N/A
19.44, Looking Straight, 93.00, N/A
19.45, Looking Straight, 93.10, N/A
19.51, Looking Straight, 93.20, N/A
19.53, Looking Straight, 93.30, N/A
19.54, Looking Straight, 93.40, N/A
19.58, Looking Straight, 93.50, N/A
19.59, Looking Straight, 93.60, N/A
19.64, Looking Straight, 93.70, N/A
19.65, Looking Straight, 93.80, N/A
19.71, Looking Straight, 93.90, N/A
19.77, Looking Straight, 94.00, N/A
19.79, Looking Straight, 94.10, N/A
19.84, Looking Straight, 94.20, N/A
19.85, Looking Straight, 94.30, N/A
19.92, Looking Straight, 94.40, N/A
19.93, Looking Straight, 94.50, N/A
19.94, Looking Straight, 94.60, N/A
19.98, Looking Straight, 94.70, N/A
19.99, Looking Straight, 94.80, N/A
20.05, Looking Straight, 94.90, N/A
20.06, Looking Straight, 95.00, N/A
20.11, Looking Straight, 95.10, N/A
20.17, Looking Straight, 95.20, N/A
20.18, Looking Straight, 95.30, N/A
20.24, Looking Straight, 95.40, N/A
20.25, Looking Straight, 95.50, N/A
20.31, Looking Straight, 95.60, N/A
20.33, Looking Straight, 95.70, N/A
20.34, Looking Straight, 95.80, N/A
20.38, Looking Straight, 95.90, N/A
20.40, Looking Straight, 96.00, N/A
20.44, Looking Straight, 96.10, N/A
20.46, Looking Straight, 96.20, N/A
20.51, Looking Straight, 96.30, N/A
20.57, Looking Straight, 96.40, N/A
20.58, Looking Straight, 96.50, N/A
20.65, Looking Straight, 96.60, N/A
20.66, Looking Straight, 96.70, N/A
20.68, Looking Straight, 96.80, N/A
20.72, Looking Straight, 96.90, N/A
20.73, Looking Straight, 97.00, N/A
20.78, Looking Straight, 97.10, N/A
20.79, Looking Straight, 97.20, N/A
20.84, Looking Straight, 97.30, N/A
20.85, Looking Straight, 97.40, N/A
20.90, Looking Straight, 97.50, N/A
20.97, Looking Straight, 97.60, N/A
20.99, Looking Straight, 97.70, N/A
21.05, Looking Straight, 97.80, N/A
21.07, Looking Straight, 97.90, N/A
21.08, Looking Straight, 98.00, N/A
21.11, Looking Straight, 98.10, N/A
21.13, Looking Straight, 98.20, N/A
21.18, Looking Straight, 98.30, N/A
21.20, Looking Straight, 98.40, N/A
21.24, Looking Straight, 98.50, N/A
21.25, Looking Straight, 98.60, N/A
21.31, Looking Straight, 98.70, N/A
21.37, Looking Straight, 98.80, N/A
21.38, Looking Straight, 98.90, N/A
21.45, Looking Straight, 99.00, N/A
21.47, Looking Straight, 99.10, N/A
21.48, Looking Straight, 99.20, N/A
21.51, Looking Straight, 99.30, N/A
21.53, Looking Straight, 99.40, N/A
21.58, Looking Straight, 99.50, N/A
21.59, Looking Straight, 99.60, N/A
21.65, Looking Straight, 99.70, N/A
21.66, Looking Straight, 99.80, N/A
21.71, Looking Straight, 99.90, N/A
21.72, Looking Straight, 100.00, N/A
21.77, Looking Straight, 100.00, N/A
21.85, Looking Straight, 100.00, N/A
21.86, Looking Straight, 100.00, N/A
21.88, Looking Straight, 100.00, N/A
21.91, Looking Straight, 100.00, N/A
21.93, Looking Straight, 100.00, N/A
21.98, Looking Straight, 100.00, N/A
22.00, Looking Straight, 100.00, N/A
22.04, Looking Straight, 100.00, N/A
22.06, Looking Straight, 100.00, N/A
22.11, Looking Straight, 100.00, N/A
22.12, Looking Straight, 100.00, N/A
22.17, Looking Straight, 100.00, N/A
22.25, Looking Straight, 100.00, N/A
22.27, Looking Straight, 100.00, N/A
22.28, Looking Straight, 100.00, N/A
22.31, Looking Straight, 100.00, N/A
22.33, Looking Straight, 100.00, N/A
22.38, Looking Straight, 100.00, N/A
22.40, Looking Straight, 100.00, N/A
22.44, Looking Straight, 100.00, N/A
22.46, Looking Straight, 100.00, N/A
22.50, Looking Straight, 100.00, N/A
22.59, Looking Straight, 100.00, N/A
22.60, Looking Straight, 100.00, N/A
22.65, Looking Straight, 100.00, N/A
22.67, Looking Straight, 100.00, N/A
22.69, Looking Straight, 100.00, N/A
22.72, Looking Straight, 100.00, N/A
22.73, Looking Straight, 100.00, N/A
22.78, Looking Straight, 100.00, N/A
22.79, Looking Straight, 100.00, N/A
22.84, Looking Straight, 100.00, N/A
22.86, Looking Straight, 100.00, N/A
22.90, Looking Straight, 100.00, N/A
22.99, Looking Straight, 100.00, N/A
23.00, Looking Straight, 100.00, N/A
23.02, Looking Straight, 100.00, N/A
23.05, Looking Straight, 100.00, N/A
23.06, Looking Straight, 100.00, N/A
23.12, Looking Straight, 100.00, N/A
23.13, Looking Straight, 100.00, N/A
23.18, Looking Straight, 100.00, N/A
23.29, Looking Straight, 100.00, N/A
23.31, Looking Straight, 100.00, N/A
23.32, Looking Straight, 100.00, N/A
23.34, Looking Straight, 100.00, N/A
23.39, Looking Straight, 100.00, N/A
23.40, Looking Straight, 100.00, N/A
23.42, Looking Straight, 100.00, N/A
23.45, Looking Straight, 100.00, N/A
23.46, Looking Straight, 100.00, N/A
23.52, Looking Straight, 100.00, N/A
23.53, Looking Straight, 100.00, N/A
23.57, Looking Straight, 100.00, N/A
23.59, Looking Straight, 100.00, N/A
23.64, Looking Straight, 100.00, N/A
23.65, Looking Straight, 100.00, N/A
23.71, Looking Straight, 100.00, N/A
23.78, Looking Straight, 100.00, N/A
23.80, Looking Straight, 100.00, N/A
23.82, Looking Straight, 100.00, N/A
23.85, Looking Straight, 100.00, N/A
23.86, Looking Straight, 100.00, N/A
23.91, Looking Straight, 100.00, N/A
23.93, Looking Straight, 100.00, N/A
23.98, Looking Straight, 100.00, N/A
23.99, Looking Straight, 100.00, N/A
24.04, Looking Straight, 100.00, N/A
24.06, Looking Straight, 100.00, N/A
24.11, Looking Straight, 100.00, N/A
24.18, Looking Straight, 100.00, N/A
24.20, Looking Straight, 100.00, N/A
24.21, Looking Straight, 100.00, N/A
24.25, Looking Straight, 100.00, N/A
24.26, Looking Straight, 100.00, N/A
24.31, Looking Straight, 100.00, N/A
24.33, Looking Straight, 100.00, N/A
24.38, Looking Straight, 100.00, N/A
24.40, Looking Straight, 100.00, N/A
24.44, Looking Straight, 100.00, N/A
24.46, Looking Straight, 100.00, N/A
24.52, Looking Straight, 100.00, N/A
24.59, Looking Straight, 100.00, N/A
24.60, Looking Straight, 100.00, N/A
24.62, Looking Straight, 100.00, N/A
24.65, Looking Straight, 100.00, N/A
24.67, Looking Straight, 100.00, N/A
24.72, Looking Straight, 100.00, N/A
24.73, Looking Straight, 100.00, N/A
24.78, Looking Straight, 100.00, N/A
24.79, Looking Straight, 100.00, N/A
24.84, Looking Straight, 100.00, N/A
24.86, Looking Straight, 100.00, N/A
24.92, Looking Straight, 100.00, N/A
24.93, Looking Straight, 100.00, N/A
24.99, Looking Straight, 100.00, N/A
25.00, Looking Straight, 100.00, N/A
25.05, Looking Straight, 100.00, N/A
25.07, Looking Straight, 100.00, N/A
25.11, Looking Straight, 100.00, N/A
25.13, Looking Straight, 100.00, N/A
25.18, Looking Straight, 100.00, N/A
25.19, Looking Straight, 100.00, N/A
25.24, Looking Straight, 100.00, N/A
25.26, Looking Straight, 100.00, N/A
25.32, Looking Straight, 100.00, N/A
25.34, Looking Straight, 100.00, N/A
25.39, Looking Straight, 100.00, N/A
25.40, Looking Straight, 100.00, N/A
25.45, Looking Straight, 100.00, N/A
25.46, Looking Straight, 100.00, N/A
25.52, Looking Straight, 100.00, N/A
25.53, Looking Straight, 100.00, N/A
25.58, Looking Straight, 100.00, N/A
25.60, Looking Straight, 100.00, N/A
25.64, Looking Straight, 100.00, N/A
25.66, Looking Straight, 100.00, N/A
25.72, Looking Straight, 100.00, N/A
25.74, Looking Straight, 100.00, N/A
25.79, Looking Straight, 100.00, N/A
25.80, Looking Straight, 100.00, N/A
25.85, Looking Straight, 100.00, N/A
25.86, Looking Straight, 100.00, N/A
25.91, Looking Straight, 100.00, N/A
25.93, Looking Straight, 100.00, N/A
25.98, Looking Straight, 100.00, N/A
26.00, Looking Straight, 100.00, N/A
26.04, Looking Straight, 100.00, N/A
26.06, Looking Straight, 100.00, N/A
26.12, Looking Straight, 100.00, N/A
26.14, Looking Straight, 100.00, N/A
26.19, Looking Straight, 100.00, N/A
26.20, Looking Straight, 100.00, N/A
26.25, Looking Straight, 100.00, N/A
26.27, Looking Straight, 100.00, N/A
26.32, Looking Straight, 100.00, N/A
26.33, Looking Straight, 100.00, N/A
26.38, Looking Straight, 100.00, N/A
26.39, Looking Straight, 100.00, N/A
26.44, Looking Straight, 100.00, N/A
26.46, Looking Straight, 100.00, N/A
26.52, Looking Straight, 100.00, N/A
26.54, Looking Straight, 100.00, N/A
26.59, Looking Straight, 100.00, N/A
26.60, Looking Straight, 100.00, N/A
26.65, Looking Straight, 100.00, N/A
26.67, Looking Straight, 100.00, N/A
26.72, Looking Straight, 100.00, N/A
26.73, Looking Straight, 100.00, N/A
26.78, Looking Straight, 100.00, N/A
26.80, Looking Straight, 100.00, N/A
26.86, Looking Straight, 100.00, N/A
26.87, Looking Straight, 100.00, N/A
26.92, Looking Straight, 100.00, N/A
26.94, Looking Straight, 100.00, N/A
26.99, Looking Straight, 100.00, N/A
27.00, Looking Straight, 100.00, N/A
27.05, Looking Straight, 100.00, N/A
27.06, Looking Straight, 100.00, N/A
27.12, Looking Straight, 100.00, N/A
27.13, Looking Straight, 100.00, N/A
27.18, Looking Straight, 100.00, N/A
27.20, Looking Straight, 100.00, N/A
27.26, Looking Straight, 100.00, N/A
27.28, Looking Straight, 100.00, N/A
27.32, Looking Straight, 100.00, N/A
27.34, Looking Straight, 100.00, N/A
27.39, Looking Straight, 100.00, N/A
27.40, Looking Straight, 100.00, N/A
27.45, Looking Straight, 100.00, N/A
27.46, Looking Straight, 100.00, N/A
27.52, Looking Straight, 100.00, N/A
27.53, Looking Straight, 100.00, N/A
27.58, Looking Straight, 100.00, N/A
27.59, Looking Straight, 100.00, N/A
27.66, Looking Straight, 100.00, N/A
27.67, Looking Straight, 100.00, N/A
27.72, Looking Straight, 100.00, N/A
27.74, Looking Straight, 100.00, N/A
27.79, Looking Straight, 100.00, N/A
27.80, Looking Straight, 100.00, N/A
27.85, Looking Straight, 100.00, N/A
27.87, Looking Straight, 100.00, N/A
27.92, Looking Straight, 100.00, N/A
27.93, Looking Straight, 100.00, N/A
27.98, Looking Straight, 100.00, N/A
28.00, Looking Straight, 100.00, N/A
28.06, Looking Straight, 100.00, N/A
28.07, Looking Straight, 100.00, N/A
28.12, Looking Straight, 100.00, N/A
28.14, Looking Straight, 100.00, N/A
28.18, Looking Straight, 100.00, N/A
28.20, Looking Straight, 100.00, N/A
28.25, Looking Straight, 100.00, N/A
28.27, Looking Straight, 100.00, N/A
28.32, Looking Straight, 100.00, N/A
28.33, Looking Straight, 100.00, N/A
28.38, Looking Straight, 100.00, N/A
28.39, Looking Straight, 100.00, N/A
28.46, Looking Straight, 100.00, N/A
28.47, Looking Straight, 100.00, N/A
28.53, Looking Straight, 100.00, N/A
28.54, Looking Straight, 100.00, N/A
28.58, Looking Straight, 100.00, N/A
28.60, Looking Straight, 100.00, N/A
28.65, Looking Straight, 100.00, N/A
28.67, Looking Straight, 100.00, N/A
28.71, Looking Straight, 100.00, N/A
28.72, Looking Straight, 100.00, N/A
28.79, Looking Straight, 100.00, N/A
28.81, Looking Straight, 100.00, N/A
28.85, Looking Straight, 100.00, N/A
28.87, Looking Straight, 100.00, N/A
28.92, Looking Straight, 100.00, N/A
28.94, Looking Straight, 100.00, N/A
28.98, Looking Straight, 100.00, N/A
29.00, Looking Straight, 100.00, N/A
29.05, Looking Straight, 100.00, N/A
29.06, Looking Straight, 100.00, N/A
29.11, Looking Straight, 100.00, N/A
29.13, Looking Straight, 100.00, N/A
29.20, Looking Straight, 100.00, N/A
29.21, Looking Straight, 100.00, N/A
29.26, Looking Straight, 100.00, N/A
29.27, Looking Straight, 100.00, N/A
29.32, Looking Straight, 100.00, N/A
29.34, Looking Straight, 100.00, N/A
29.39, Looking Straight, 100.00, N/A
29.40, Looking Straight, 100.00, N/A
29.45, Looking Straight, 100.00, N/A
29.46, Looking Straight, 100.00, N/A
29.51, Looking Straight, 100.00, N/A
29.53, Looking Straight, 100.00, N/A
29.59, Looking Straight, 100.00, N/A
29.61, Looking Straight, 100.00, N/A
29.66, Looking Straight, 100.00, N/A
29.68, Looking Straight, 100.00, N/A
29.72, Looking Straight, 100.00, N/A
